               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0694,            0.034289,            0.060512,             0.18097,               0.293,             0.18338,            0.080557,            0.040235,            0.014048,            0.049772,             0.00299,             0.00299,             0.07309
                   1,            0.052638,            0.019337,            0.055564,             0.20403,             0.64073,              0.3406,             0.13057,            0.034083,             0.00902,            0.041171,           0.0059887,           0.0059887,            0.046089
                   2,            0.050985,            0.014082,            0.050138,             0.20363,               0.765,             0.43734,             0.19829,            0.043043,            0.005928,            0.035061,            0.008982,            0.008982,            0.019082
                   3,             0.05102,            0.012924,            0.046314,             0.46017,             0.77433,             0.62325,             0.33362,            0.034046,           0.0061724,            0.032038,             0.00998,             0.00998,             0.00998
                   4,            0.043654,            0.012507,            0.042251,             0.48794,             0.85692,             0.74548,             0.44345,            0.029904,           0.0055908,            0.026929,             0.00998,             0.00998,             0.00998
                   5,             0.03862,            0.011699,            0.035637,             0.71276,             0.92037,              0.9144,             0.47578,            0.031904,           0.0055304,            0.019348,           0.0099645,           0.0099645,           0.0099645
                   6,            0.035001,             0.01236,            0.030716,             0.75797,             0.90881,             0.86847,             0.54735,            0.026159,           0.0058238,            0.018141,           0.0099446,           0.0099446,           0.0099446
                   7,            0.032711,            0.010951,            0.027174,             0.72882,             0.95049,             0.89513,             0.55895,            0.026941,           0.0056106,             0.01393,           0.0099203,           0.0099203,           0.0099203
                   8,            0.030351,              0.0104,            0.023169,             0.71517,              0.9502,             0.94296,             0.68831,            0.023974,           0.0050212,            0.012985,           0.0098916,           0.0098916,           0.0098916
                   9,            0.030833,            0.010608,            0.022887,             0.85515,              0.9031,             0.94937,             0.58423,            0.026753,           0.0056624,            0.011488,           0.0098586,           0.0098586,           0.0098586
                  10,            0.029327,            0.010236,            0.022244,             0.92847,             0.94335,             0.97863,             0.65189,            0.021669,           0.0052289,           0.0089796,           0.0098213,           0.0098213,           0.0098213
                  11,            0.028174,            0.010488,            0.020039,             0.93444,             0.96313,             0.98808,             0.59899,            0.028334,           0.0051669,           0.0094274,           0.0097798,           0.0097798,           0.0097798
                  12,            0.028667,            0.010475,            0.017925,             0.93021,             0.95638,             0.95253,             0.65934,            0.022579,           0.0054277,           0.0085043,            0.009734,            0.009734,            0.009734
                  13,            0.027341,             0.01064,            0.017234,             0.97995,             0.89742,              0.9755,             0.73812,            0.020177,           0.0047426,           0.0081732,            0.009684,            0.009684,            0.009684
                  14,            0.026467,            0.010096,            0.017614,             0.96634,              0.9849,             0.99283,             0.71511,            0.022509,           0.0051851,           0.0057002,           0.0096299,           0.0096299,           0.0096299
                  15,            0.026447,           0.0097433,            0.015561,             0.94397,             0.94307,             0.98822,              0.7056,            0.021423,           0.0054933,           0.0052556,           0.0095717,           0.0095717,           0.0095717
                  16,             0.02542,            0.010489,             0.01641,             0.95795,             0.97471,             0.99205,             0.72852,            0.019086,           0.0048779,           0.0053351,           0.0095095,           0.0095095,           0.0095095
                  17,            0.026635,            0.010412,            0.015581,              0.9757,             0.97589,              0.9943,             0.72577,            0.019751,           0.0050062,           0.0047561,           0.0094434,           0.0094434,           0.0094434
                  18,            0.025185,           0.0098817,            0.015691,             0.96767,             0.96562,             0.98771,             0.71233,             0.01792,           0.0048525,           0.0053724,           0.0093733,           0.0093733,           0.0093733
                  19,            0.023748,           0.0093967,            0.013838,             0.96916,             0.95553,             0.98312,             0.72849,             0.01896,           0.0049311,           0.0051881,           0.0092995,           0.0092995,           0.0092995
                  20,            0.024142,           0.0097523,            0.014462,             0.95073,             0.96765,             0.97809,             0.72272,            0.019556,            0.005098,           0.0063634,           0.0092219,           0.0092219,           0.0092219
                  21,            0.024045,           0.0094697,            0.013705,             0.99007,             0.97566,             0.99417,             0.64559,            0.024745,           0.0053098,           0.0033679,           0.0091406,           0.0091406,           0.0091406
                  22,            0.024534,           0.0096187,            0.012474,             0.98071,             0.98076,             0.98881,             0.72612,            0.021374,             0.00484,           0.0040327,           0.0090557,           0.0090557,           0.0090557
                  23,            0.022824,           0.0092112,            0.014429,             0.97502,             0.98066,             0.98905,             0.72809,            0.019605,           0.0048704,           0.0047775,           0.0089673,           0.0089673,           0.0089673
                  24,            0.021923,           0.0088798,            0.012477,             0.97379,             0.97889,             0.98489,             0.73557,             0.01854,           0.0050496,           0.0055131,           0.0088755,           0.0088755,           0.0088755
                  25,            0.023686,            0.010456,            0.012962,             0.97786,             0.96281,             0.98955,             0.68243,            0.021572,            0.005294,           0.0062527,           0.0087804,           0.0087804,           0.0087804
                  26,            0.022802,           0.0099225,            0.011457,              0.9781,             0.96348,             0.98662,             0.75349,            0.019013,            0.004466,           0.0056382,            0.008682,            0.008682,            0.008682
                  27,            0.021722,           0.0093707,            0.011193,             0.98637,               0.988,             0.98734,             0.71781,            0.020598,           0.0052579,           0.0039665,           0.0085805,           0.0085805,           0.0085805
                  28,            0.021769,           0.0089475,            0.011116,             0.97741,             0.98158,             0.99429,              0.6706,            0.022623,           0.0054619,           0.0036334,           0.0084759,           0.0084759,           0.0084759
                  29,            0.021622,           0.0091123,            0.011224,             0.95227,             0.98021,             0.98858,             0.70335,             0.02001,           0.0053082,           0.0055435,           0.0083684,           0.0083684,           0.0083684
                  30,            0.020946,           0.0086986,            0.011297,              0.9744,             0.97452,             0.98985,             0.78764,              0.0165,           0.0045077,           0.0036229,           0.0082581,           0.0082581,           0.0082581
                  31,            0.021302,            0.008667,            0.011976,             0.97909,              0.9419,             0.96924,             0.71747,            0.018623,           0.0057186,            0.004432,            0.008145,            0.008145,            0.008145
                  32,            0.020859,           0.0092881,            0.011223,             0.98671,             0.98667,               0.995,              0.7696,            0.017568,           0.0045709,            0.002645,           0.0080294,           0.0080294,           0.0080294
                  33,            0.020749,           0.0086479,             0.00992,             0.97473,             0.98184,             0.98694,             0.72439,            0.019786,           0.0048893,           0.0029203,           0.0079112,           0.0079112,           0.0079112
