               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086563,             0.03293,            0.065635,            0.057295,             0.50205,            0.082809,            0.019802,            0.050214,            0.019805,            0.056475,             0.00074,             0.00074,             0.09334
                   1,            0.051524,             0.02352,            0.060809,             0.17447,               0.535,             0.22639,             0.11052,            0.037169,            0.012087,            0.052863,           0.0014897,           0.0014897,             0.08659
                   2,            0.053457,            0.018667,            0.057046,             0.37094,                0.48,             0.39189,             0.17465,            0.043606,           0.0091747,            0.047462,            0.002238,            0.002238,            0.079838
                   3,            0.048465,            0.017621,              0.0544,             0.36364,             0.66797,             0.50284,             0.23729,            0.036645,           0.0076828,            0.042216,            0.002984,            0.002984,            0.073084
                   4,             0.04509,            0.014521,            0.049041,             0.35716,             0.78918,             0.63926,             0.29937,            0.034389,           0.0068228,            0.034422,           0.0037267,           0.0037267,            0.066327
                   5,            0.042914,            0.013545,            0.042513,             0.63545,             0.81729,             0.78762,             0.40514,            0.038211,           0.0062042,            0.027677,           0.0044651,           0.0044651,            0.059565
                   6,            0.045413,            0.012581,            0.036043,             0.54092,             0.91191,             0.84222,             0.45795,            0.037107,           0.0060604,             0.02272,           0.0051982,           0.0051982,            0.052798
                   7,            0.047518,            0.013579,            0.032942,             0.63009,             0.87231,             0.80185,             0.35024,            0.037659,           0.0058306,            0.024188,           0.0059251,           0.0059251,            0.046025
                   8,            0.044167,            0.012006,            0.030534,             0.68533,             0.82416,             0.83296,             0.37042,            0.031035,           0.0060567,            0.019888,           0.0066447,           0.0066447,            0.039245
                   9,            0.041025,            0.011839,             0.02668,             0.57074,              0.9234,             0.79956,             0.41412,            0.035096,           0.0056588,            0.019353,           0.0073562,           0.0073562,            0.032456
                  10,            0.038579,             0.01128,            0.026101,             0.62331,             0.90791,             0.86272,             0.47497,            0.033109,           0.0055234,            0.015836,           0.0080585,           0.0080585,            0.025659
                  11,            0.042064,            0.011524,            0.022365,              0.7625,              0.8493,               0.938,             0.58583,            0.036327,           0.0053066,             0.01038,           0.0087508,           0.0087508,            0.018851
                  12,            0.040704,            0.012523,            0.023342,             0.81014,             0.92086,             0.93655,             0.40634,             0.03863,            0.005849,           0.0091543,           0.0094322,           0.0094322,            0.012032
                  13,            0.039497,            0.012959,            0.021565,             0.75671,             0.83204,             0.86101,             0.52257,            0.032606,           0.0061914,            0.016746,           0.0096299,           0.0096299,           0.0096299
                  14,            0.037968,               0.013,            0.022196,             0.93649,             0.92839,             0.97202,             0.54549,            0.033316,            0.006406,            0.010488,           0.0096299,           0.0096299,           0.0096299
                  15,            0.034576,             0.01095,             0.01853,             0.93504,             0.95572,             0.98036,             0.68199,            0.025179,           0.0053239,           0.0057093,           0.0095717,           0.0095717,           0.0095717
                  16,            0.033068,            0.011815,            0.019493,             0.94088,             0.93762,              0.9762,              0.6903,            0.026083,           0.0052619,           0.0073152,           0.0095095,           0.0095095,           0.0095095
                  17,            0.032332,            0.011609,            0.018584,             0.92911,             0.93068,             0.97735,             0.65342,            0.026436,           0.0055092,           0.0079422,           0.0094434,           0.0094434,           0.0094434
                  18,            0.033396,            0.011902,             0.01701,             0.88284,               0.871,             0.94708,             0.68044,            0.028149,           0.0051689,            0.012541,           0.0093733,           0.0093733,           0.0093733
                  19,            0.029611,            0.010234,            0.017172,             0.94384,             0.88779,             0.95539,             0.61799,            0.025826,           0.0058005,            0.010794,           0.0092995,           0.0092995,           0.0092995
                  20,            0.029179,            0.012716,            0.017487,             0.94384,             0.97555,             0.98039,             0.69329,            0.024081,           0.0050118,           0.0064487,           0.0092219,           0.0092219,           0.0092219
